arm,group,long,short,sharpe,ann_ret_pct,ann_vol_pct,days_in_market_pct,max_dd,sh_05-10,sh_11-15,sh_16-20,sh_21-26,placebo_pctile,placebo_p95,mean_bps_per_event,t_per_event,n_events
TLTvsSPY:ann_fade,fomc_event,0,1,-0.687,-4.89,7.11,6.4,-0.725,-1.12,-0.9,-0.48,-0.02,2.0,0.141,,,
eq15rp:ann_fade_rev,fomc_event,1,0,-0.689,-3.54,5.14,6.4,-0.6,-1.01,-1.07,-0.41,-0.12,0.0,0.229,,,
xasset8rp:pre1_rev,fomc_event,-,-1,-0.692,-1.08,1.56,3.2,-0.213,-0.63,-0.42,-1.37,-0.57,13.0,-0.105,,,
HYG:pre_ann_rev,fomc_event,-,"-1,0",-0.693,-2.19,3.16,6.4,-0.381,-0.77,-0.55,-0.52,-1.11,6.0,0.023,,,
eqUS4ew:preann_fade_rev,fomc_event,"1,2","-1,0",-0.698,-5.39,7.72,12.7,-0.752,-0.96,-0.5,-1.03,-0.22,0.0,0.203,,,
eqUS4ew:ann_fade_rev,fomc_event,1,0,-0.699,-3.98,5.69,6.4,-0.649,-1.06,-0.98,-0.42,-0.25,0.0,0.148,,,
eq15ew:ann_fade_rev,fomc_event,1,0,-0.71,-3.85,5.42,6.4,-0.63,-1.03,-1.08,-0.42,-0.15,0.0,0.176,,,
QQQ:pre_ann_rev,fomc_event,-,"-1,0",-0.712,-4.34,6.09,6.4,-0.658,-1.04,-0.57,-0.87,-0.29,2.0,0.056,,,
bond3rp:pre_ann_rev,fomc_event,-,"-1,0",-0.717,-1.72,2.4,6.4,-0.327,-0.68,-0.6,-0.55,-1.03,1.0,0.022,,,
SPY:preann_fade_rev,fomc_event,"1,2","-1,0",-0.717,-5.28,7.37,12.7,-0.743,-1.03,-0.51,-1.06,-0.17,0.0,0.181,,,
bondVsEq:ann_fade,fomc_event,0,1,-0.72,-4.51,6.26,6.4,-0.695,-1.07,-0.97,-0.49,-0.15,6.0,-0.012,,,
SPY:ann_fade_rev,fomc_event,1,0,-0.737,-3.92,5.32,6.4,-0.634,-1.1,-1.08,-0.44,-0.2,2.0,0.191,,,
BTC:preann_fade_rev,fomc_event,"1,2","-1,0",-0.739,-14.48,19.59,8.8,-0.693,,,-1.27,-0.6,4.0,0.469,,,
QQQ:preann_fade_rev,fomc_event,"1,2","-1,0",-0.747,-6.26,8.37,12.7,-0.804,-0.98,-0.53,-1.3,-0.19,0.0,0.267,,,
QQQ:ann_rev,fomc_event,-,0,-0.751,-3.16,4.2,3.2,-0.53,-1.26,-0.92,-0.28,-0.48,2.0,0.046,,,
all21rp:pre1_rev,fomc_event,-,-1,-0.755,-0.9,1.19,3.2,-0.178,-0.65,-0.58,-1.67,-0.71,20.0,-0.244,,,
crypto2:ann_rev,fomc_event,-,0,-0.755,-9.13,12.09,2.2,-0.532,,,-1.94,-0.45,6.0,0.381,,,
QQQ:ann_fade_rev,fomc_event,1,0,-0.778,-4.77,6.13,6.4,-0.699,-1.13,-1.04,-0.5,-0.45,0.0,0.219,,,
crypto2:pre_ann_rev,fomc_event,-,"-1,0",-0.779,-11.64,14.94,4.4,-0.608,,,-2.24,-0.45,5.0,0.368,,,
BTC:ann_rev,fomc_event,-,0,-0.828,-9.67,11.69,2.2,-0.542,,,-1.98,-0.46,8.0,0.459,,,
xasset8rp:ann_rev,fomc_event,-,0,-0.847,-2.01,2.37,3.2,-0.376,-1.25,-0.81,-0.5,-0.79,3.0,-0.121,,,
all21rp:ann_rev,fomc_event,-,0,-0.862,-1.34,1.56,3.2,-0.274,-1.47,-0.96,-0.41,-0.56,10.0,-0.21,,,
BTC:pre_ann_rev,fomc_event,-,"-1,0",-0.877,-12.46,14.21,4.4,-0.629,,,-2.38,-0.45,2.0,0.458,,,
HYG:ann_rev,fomc_event,-,0,-0.891,-2.33,2.61,3.2,-0.379,-1.35,-0.95,-0.31,-1.05,2.0,-0.018,,,
all21rp:pre_ann_rev,fomc_event,-,"-1,0",-0.905,-1.76,1.94,6.4,-0.338,-1.29,-0.83,-0.8,-0.58,2.0,-0.163,,,
xasset8rp:pre_ann_rev,fomc_event,-,"-1,0",-0.925,-2.61,2.82,6.4,-0.451,-1.22,-0.72,-0.88,-0.78,0.0,-0.08,,,
all21rp:preann_fade_rev,fomc_event,"1,2","-1,0",-0.944,-2.42,2.56,12.7,-0.427,-1.17,-1.08,-1.0,-0.59,0.0,-0.064,,,
HYG:ann_fade_rev,fomc_event,1,0,-0.98,-3.55,3.63,6.4,-0.524,-0.99,-1.43,-0.83,-1.0,0.0,-0.038,,,
all21rp:ann_fade_rev,fomc_event,1,0,-0.981,-2.02,2.06,6.4,-0.378,-1.22,-1.55,-0.77,-0.55,4.0,-0.13,,,
xasset8rp:ann_fade_rev,fomc_event,1,0,-0.994,-3.06,3.08,6.4,-0.51,-1.0,-1.4,-0.86,-0.78,2.0,-0.049,,,
xasset8rp:preann_fade_rev,fomc_event,"1,2","-1,0",-0.997,-3.71,3.72,12.7,-0.574,-1.01,-1.06,-1.14,-0.83,0.0,0.043,,,
BTC:w6h@+0,intraday,6h@+0h,-,0.691,3.54,5.12,2.2,-0.073,,,1.87,0.31,100.0,0.462,56.7,2.33,53.0
