sleeve,kind,tf,sym,sharpe,mc_p5,mc_p50,max_dd,months_in_profit,ann_turnover,placebo_sharpe,n_obs,robust
EURGBP=X_1h_breakout,fx,1h,EURGBP=X,-0.9511889464610084,,,-0.6132229707958682,0.3125,348.55052813575145,-6.808585552353196,2380,False
EURJPY=X_1h_breakout,fx,1h,EURJPY=X,-0.5913021640279585,,,-0.5306526339120257,0.425,315.5636367050613,-5.177289245722926,2381,False
EURUSD=X_1h_breakout,fx,1h,EURUSD=X,-0.9222205197879337,,,-0.6289830377718502,0.325,354.8058553562106,-5.024761631112155,2380,False
GBPAUD=X_1h_breakout,fx,1h,GBPAUD=X,-0.6630987535987765,,,-0.49203070321738807,0.2875,311.7835622867293,-5.638279399779797,2380,False
GBPCHF=X_1h_breakout,fx,1h,GBPCHF=X,-0.30229324788960515,,,-0.35314341961624707,0.4375,304.2588690562173,-4.603838036373655,2380,False
GBPJPY=X_1h_breakout,fx,1h,GBPJPY=X,0.049270844705568737,,,-0.40366504581244567,0.4875,282.19522561837056,-4.641760347523249,2381,False
GBPUSD=X_1h_breakout,fx,1h,GBPUSD=X,-0.9328591855908701,,,-0.6438888855025142,0.2625,333.2939258826248,-5.06890814236573,2380,False
NZDJPY=X_1h_breakout,fx,1h,NZDJPY=X,0.058801421712509724,,,-0.348092458229604,0.4375,245.66274133754703,-3.8096075734606902,2381,False
NZDUSD=X_1h_breakout,fx,1h,NZDUSD=X,-0.7220846294721143,,,-0.5660519287240493,0.3375,261.3439739358935,-3.8398307881804654,2381,False
USDCAD=X_1h_breakout,fx,1h,USDCAD=X,-0.8404323758118513,,,-0.6046227198322808,0.35,351.92901557584014,-6.125366322437831,2381,False
USDCHF=X_1h_breakout,fx,1h,USDCHF=X,-0.07177684512920855,,,-0.3002915967421017,0.4875,312.8529934310711,-5.461018629666663,2381,False
USDJPY=X_1h_breakout,fx,1h,USDJPY=X,0.0671747302153299,,,-0.296672474700737,0.45,306.7641130284074,-4.749987853629013,2381,False
USDMXN=X_1h_breakout,fx,1h,USDMXN=X,-0.3766807746222572,,,-0.44518975642612846,0.4125,232.97501246818854,-3.2577426834030527,2382,False
USDNOK=X_1h_breakout,fx,1h,USDNOK=X,-0.5520757137993956,,,-0.4956870516115679,0.4,210.91054434679117,-3.1652837508731646,2381,False
USDSEK=X_1h_breakout,fx,1h,USDSEK=X,-0.6543453703770952,,,-0.48115071517766894,0.45,240.57240737191825,-3.8517489222565593,2380,False
USDSGD=X_1h_breakout,fx,1h,USDSGD=X,-0.9285120935653003,,,-0.5651120846494548,0.325,388.18520360408746,-7.327652342022908,2381,False
USDZAR=X_1h_breakout,fx,1h,USDZAR=X,-0.8300642430156029,,,-0.580609358195969,0.3375,183.4640351375052,-3.0836260309535892,2381,False
