sleeve,kind,tf,sym,sharpe,mc_p5,mc_p50,max_dd,months_in_profit,ann_turnover,placebo_sharpe,n_obs,robust
ICPUSDT_4h_breakout,crypto,4h,ICPUSDT,0.7806236479595057,0.15848127898695638,0.8137255850111811,-0.22100907711853568,0.5873015873015873,12.499434388345485,-1.7235771310673123,1908,True
ETCUSDT_4h_breakout,crypto,4h,ETCUSDT,0.033190242081736036,,,-0.3510606086639235,0.4936708860759494,15.965831076203028,-1.651615929583295,2389,False
ALGOUSDT_4h_breakout,crypto,4h,ALGOUSDT,0.10236488059528719,,,-0.2840623238065688,0.4864864864864865,13.843317122890214,-1.5614302794099721,2237,False
ATOMUSDT_4h_breakout,crypto,4h,ATOMUSDT,0.29060092363445617,,,-0.2688898577286075,0.44871794871794873,15.019831262614884,-1.056127046585812,2367,False
FILUSDT_4h_breakout,crypto,4h,FILUSDT,0.5379240681600738,-0.19826361910684515,0.5772887279286273,-0.3330164861416993,0.5285714285714286,14.481075414329677,-1.3241723013780653,2115,False
ARBUSDT_4h_breakout,crypto,4h,ARBUSDT,0.6448730046974239,-0.23724601374840826,0.6613893087396878,-0.17185619655759676,0.6097560975609756,14.050514374625326,-0.8715473790259922,1227,False
APTUSDT_4h_breakout,crypto,4h,APTUSDT,0.34458531705161505,,,-0.20579748332908843,0.4782608695652174,13.942649825341801,-0.36455339012121935,1382,False
INJUSDT_4h_breakout,crypto,4h,INJUSDT,0.5601305538476228,-0.24416460837351994,0.6235595086085681,-0.2049366940751567,0.5,12.094388934914475,-0.9939977633806316,1445,False
DASHUSDT_4h_breakout,crypto,4h,DASHUSDT,0.21991632985539175,,,-0.20471734610682724,0.46153846153846156,14.638577352566989,-1.3657256606145889,2370,False
VETUSDT_4h_breakout,crypto,4h,VETUSDT,0.7530193093002553,0.09740700550135654,0.7570668060567358,-0.223532702319573,0.5641025641025641,13.920514609876538,-1.5516076064638182,2360,True
FETUSDT_4h_breakout,crypto,4h,FETUSDT,0.561502083882309,-0.44928061703921324,0.5268602411582243,-0.15198733345749016,0.4418604651162791,11.664452071767666,-1.6140296010620614,1292,False
CRVUSDT_4h_breakout,crypto,4h,CRVUSDT,0.2259577983243735,,,-0.21814154784105477,0.4788732394366197,10.963413196519486,-1.268818002437985,2160,False
1000LUNCUSDT_4h_breakout,crypto,4h,1000LUNCUSDT,0.802858013878899,-0.06256282158004427,0.8004145221798187,-0.18115984924277728,0.5319148936170213,12.910415271120614,-1.8800652312330874,1422,False
STXUSDT_4h_breakout,crypto,4h,STXUSDT,-0.49991812303502614,,,-0.27376758739169516,0.40476190476190477,14.705460497161964,-2.1527063511029847,1257,False
LDOUSDT_4h_breakout,crypto,4h,LDOUSDT,-0.6831618643299152,,,-0.38048720499204236,0.3829787234042553,13.504386319702265,-3.052889680487948,1409,False
IMXUSDT_4h_breakout,crypto,4h,IMXUSDT,0.9517400244311095,0.23652573974253435,0.9683103803185482,-0.1494450836532486,0.6481481481481481,11.339520189191722,-1.9735796398629373,1632,True
XTZUSDT_4h_breakout,crypto,4h,XTZUSDT,0.18685846334169562,,,-0.16653458247763886,0.47435897435897434,14.069256675324864,-1.9003686599043548,2368,False
JASMYUSDT_4h_breakout,crypto,4h,JASMYUSDT,0.7484899568188436,-0.13284302071489118,0.7226584491088558,-0.17633427359474718,0.4807692307692308,11.630341419838837,-1.4880347384701393,1564,False
CFXUSDT_4h_breakout,crypto,4h,CFXUSDT,0.39095528434948645,,,-0.17650966110260202,0.4523809523809524,13.103977383556064,-1.3742616157977003,1258,False
OPUSDT_4h_breakout,crypto,4h,OPUSDT,0.5965838494959308,-0.11471189120582839,0.6324366225298399,-0.1698919908794364,0.48,12.898438671378866,-1.5175282120357905,1522,False
1000FLOKIUSDT_4h_breakout,crypto,4h,1000FLOKIUSDT,0.42814644955102343,,,-0.15041412055427228,0.4358974358974359,13.104423010855989,-0.5813296618402882,1183,False
