kind,sym,tf,exit,sharpe,mc_p5,max_dd,months_in_profit,ann_turnover
crypto,LTCUSDT,4h,time,-0.2507057452891531,,-0.46851916276113037,0.46835443037974683,16.771117833939947
crypto,LTCUSDT,4h,channel,-0.38316326985661014,,-0.4866203864118168,0.45569620253164556,15.363409530212124
crypto,LTCUSDT,4h,atr_trailing,-0.26341210240703067,,-0.41179072956178886,0.46835443037974683,15.870245001507632
crypto,LTCUSDT,4h,reversal,-0.4736593098776383,,-0.6206011757314278,0.5063291139240507,13.248915962754408
crypto,ETCUSDT,4h,triple_barrier,0.023304675364363394,,-0.20288488290325768,0.4810126582278481,23.36784681640029
crypto,ETCUSDT,4h,time,0.6555973261909882,0.08815689195097882,-0.16126234525915495,0.5189873417721519,14.418057676919938
crypto,ETCUSDT,4h,channel,0.469745704960718,,-0.22583226518023247,0.5316455696202531,13.121947758378171
crypto,ETCUSDT,4h,atr_trailing,0.5246070437204133,-0.06318404944807283,-0.15431010750084662,0.5189873417721519,13.397555174521258
crypto,ETCUSDT,4h,reversal,0.3607140853696713,,-0.3003431011373605,0.5822784810126582,10.988343657047883
equity,SPY,4h,triple_barrier,-0.06264700709564365,,-0.16381785216102718,0.4430379746835443,26.38052157645599
equity,SPY,4h,time,0.23154039609528465,,-0.22671442305643952,0.5316455696202531,11.060723287626745
equity,SPY,4h,channel,0.05825881413534848,,-0.23998440561411638,0.4177215189873418,12.550657773946012
equity,SPY,4h,atr_trailing,-0.0632106203676179,,-0.312999312681809,0.4430379746835443,13.9126045119144
equity,SPY,4h,reversal,0.15753098513220418,,-0.3786014000997072,0.569620253164557,8.669925806030692
equity,QQQ,4h,triple_barrier,0.3274242121850093,,-0.1056847692542453,0.45569620253164556,18.644645352307393
equity,QQQ,4h,time,0.2197510622182081,,-0.18784735017449805,0.5569620253164557,8.481454234788485
equity,QQQ,4h,channel,0.19062865031077914,,-0.21593080778785356,0.4810126582278481,9.341334720427888
equity,QQQ,4h,atr_trailing,0.04799345842007756,,-0.2108975773122893,0.4177215189873418,10.922367675046225
equity,QQQ,4h,reversal,0.09147995265993346,,-0.3747559530924569,0.569620253164557,6.714806462489838
equity,AAPL,4h,triple_barrier,0.7442978435769364,0.23219117041953194,-0.10155405029991815,0.45977011494252873,14.57899477574294
equity,AAPL,4h,time,0.3919334598755525,,-0.22375246954927175,0.5172413793103449,7.013651453603322
equity,AAPL,4h,channel,0.5213909658080529,-0.03322540915760773,-0.22755007132254534,0.4827586206896552,6.694880346773509
equity,AAPL,4h,atr_trailing,0.4322278214252291,,-0.14117383938059802,0.4942528735632184,7.689924009759823
equity,AAPL,4h,reversal,0.5428020658106517,0.00689473184389954,-0.18490641912395056,0.5632183908045977,4.904574264311642
equity,MSFT,4h,triple_barrier,0.07346027144490692,,-0.2612539721602357,0.41379310344827586,16.206449344362838
equity,MSFT,4h,time,0.09745826688537189,,-0.25336402453015716,0.4482758620689655,8.215002601884656
