signal,lookback_d,skip_d,top_frac,weighting,rebal_d,sharpe,sortino,mc_p5,max_dd,months_in_profit,ann_turnover,cost_drag,n_obs
raw,10,0,0.1,equal,21,0.03714251223534488,0.05045683206101732,,-0.5086395822721024,0.55,39.896305897602076,0.0285,10801
raw,10,0,0.1,volinv,5,-0.6231170155807362,-0.814520199480593,,-0.5855500384305945,0.45,147.55835329467925,0.10540858293226393,10801
raw,10,0,0.1,volinv,10,-0.772669634323694,-1.0340687271005216,,-0.6310932940555216,0.4375,89.999642876609,0.06429141155491097,10801
raw,10,0,0.1,volinv,21,0.015951335065536497,0.02157955097636654,,-0.49912209676036656,0.5375,40.74044758785867,0.029103014179660144,10801
raw,10,0,0.2,equal,5,-0.641298501344572,-0.8205334620225831,,-0.6183977595096901,0.475,111.77498379779651,0.07984666666666668,10801
raw,10,0,0.2,equal,10,-0.7688071834634654,-1.008549320660197,,-0.6315909450743422,0.3875,77.7208036292936,0.05552,10801
raw,10,0,0.2,equal,21,0.16702758077712346,0.22574322097515495,,-0.4378070743578685,0.575,33.9048606610499,0.02422,10801
raw,10,0,0.2,volinv,5,-0.7804928211808946,-0.9932807115518196,,-0.6748586548934374,0.4625,125.9535469086428,0.08997514948149807,10801
raw,10,0,0.2,volinv,10,-0.8728349306822707,-1.1385217733226738,,-0.6706471324063933,0.4,82.05780787269462,0.05861814701276287,10801
raw,10,0,0.2,volinv,21,0.09020553570091899,0.12151845838873981,,-0.4371074980289399,0.525,36.29241567526075,0.02592555434579969,10801
raw,10,0,0.3,equal,5,-0.517006887007951,-0.6722223345834705,,-0.5617682571597247,0.475,97.15600407369688,0.06940357142857143,10801
raw,10,0,0.3,equal,10,-0.6730179339101884,-0.8982680299504455,,-0.5909623696283379,0.4125,70.26349412091474,0.05019285714285714,10801
raw,10,0,0.3,equal,21,0.18281128347360023,0.24838026881050232,,-0.3874513220062442,0.55,31.327099342653458,0.022378571428571428,10801
raw,10,0,0.3,volinv,5,-0.5871275417563055,-0.764989902721492,,-0.5979605134482506,0.4375,112.46702426755535,0.0803410270577953,10801
raw,10,0,0.3,volinv,10,-0.7198935422806115,-0.9601857437315642,,-0.6018870036438468,0.4625,75.62997842419432,0.05402641514283882,10801
raw,10,0,0.3,volinv,21,0.13623548838420405,0.18532665033909926,,-0.35699480523464144,0.525,33.987213814819235,0.024278829127900966,10801
raw,10,2,0.1,equal,5,-0.18624621041834588,-0.243789212359399,,-0.47002954634577854,0.4625,139.14711600777704,0.0994,10801
raw,10,2,0.1,equal,10,-0.41390117729058845,-0.5415571400294287,,-0.5156449351151401,0.4375,88.65845755022683,0.06333333333333332,10801
raw,10,2,0.1,equal,21,-0.2988217110803261,-0.4059615241666119,,-0.4458547311234998,0.4875,39.7096565132858,0.028366666666666665,10801
raw,10,2,0.1,volinv,5,-0.194859000063125,-0.2540411055366439,,-0.48141083158772224,0.4875,146.85639916724483,0.1049071407014161,10801
raw,10,2,0.1,volinv,10,-0.4799578025634614,-0.6241335040229944,,-0.5327423987348281,0.45,90.25551120141522,0.0644741915665665,10801
raw,10,2,0.1,volinv,21,-0.3025519417061622,-0.4094968289434505,,-0.43177916303130637,0.4625,41.080508376428725,0.029345937233717374,10801
raw,10,2,0.2,equal,5,-0.40105957357564725,-0.516736597608649,,-0.5403170769267057,0.4625,110.87906675307843,0.07920666666666668,10801
raw,10,2,0.2,equal,10,-0.31874768283901517,-0.4129604928844738,,-0.4196543727562474,0.4625,75.94763447828906,0.054253333333333334,10801
raw,10,2,0.2,equal,21,-0.10990396674594012,-0.14994724442914562,,-0.25010838382152667,0.475,33.9701879455606,0.02426666666666667,10801
raw,10,2,0.2,volinv,5,-0.42209070621098627,-0.5441944004242609,,-0.5446324929688624,0.5,124.56123868915306,0.08898055152655701,10801
raw,10,2,0.2,volinv,10,-0.3661326831150479,-0.4740048207537611,,-0.44366852128907885,0.45,80.25237644270132,0.05732843372735561,10801
raw,10,2,0.2,volinv,21,-0.20841172422221632,-0.2827146294134286,,-0.28907909869048687,0.4625,36.274622906641845,0.0259128440485872,10801
raw,10,2,0.3,equal,5,-0.43235432721460637,-0.561685059049145,,-0.5646811869793404,0.475,99.18081659105638,0.07085,10801
raw,10,2,0.3,equal,10,-0.20353921116449708,-0.26539095293844617,,-0.35063331614617277,0.475,69.13859827793723,0.04938928571428571,10801
raw,10,2,0.3,equal,21,-0.029518782621071642,-0.04015858158613686,,-0.22464235869944282,0.525,30.85214332006296,0.022039285714285713,10801
raw,10,2,0.3,volinv,5,-0.4502993580060278,-0.5880869428054357,,-0.5618312774914411,0.5,114.10716696653067,0.08151266603210963,10801
raw,10,2,0.3,volinv,10,-0.25544020810132617,-0.33269609667789485,,-0.3901118650351256,0.4625,74.15659755559786,0.05297390279087384,10801
raw,10,2,0.3,volinv,21,-0.1594296204003395,-0.21566137239237182,,-0.25926315357248586,0.475,33.7614666671845,0.024117566234937812,10801
raw,20,0,0.1,equal,5,-0.7005282611700439,-0.9075729401694165,,-0.6424690527338728,0.375,100.09073233959819,0.0715,10801
