sleeve,kind,tf,family,sharpe,mc_p5,mc_p50,max_dd,months_in_profit,turnover,placebo_sharpe,screened,wf_oos,accepted
ETHUSDT_15m_trend,crypto,15m,trend,0.42704393570888266,,,-0.27268405316092537,0.5569620253164557,1393.4230525000278,-25.558169067840627,False,0.2182211765918442,False
ETHUSDT_15m_carry,crypto,15m,carry,-0.38828180266559514,,,-0.36103176576552554,0.4177215189873418,909.0713007179601,-12.83333239289572,False,,False
ETHUSDT_15m_mean_reversion,crypto,15m,mean_reversion,-9.272002988182647,,,-0.998246550560596,0.0,9478.926123482908,-19.208099285953665,False,,False
ETHUSDT_15m_breakout,crypto,15m,breakout,-4.861521945933165,,,-0.8886064968353765,0.0759493670886076,3373.1382555634955,-10.518617192356773,False,,False
BNBUSDT_15m_trend,crypto,15m,trend,0.061668587185261754,,,-0.38505632044190297,0.5256410256410257,1592.0350197003938,-28.258565977840416,False,-0.6710210375739855,False
BNBUSDT_15m_carry,crypto,15m,carry,-1.1612204829467325,,,-0.5305711129145259,0.34615384615384615,785.7473645553681,-12.190488094590094,False,,False
BNBUSDT_15m_mean_reversion,crypto,15m,mean_reversion,-10.734644418975991,,,-0.9993192085492073,0.0,10862.050322810932,-22.221205578252803,False,,False
BNBUSDT_15m_breakout,crypto,15m,breakout,-6.4430680491654195,,,-0.9473214309250564,0.08974358974358974,4349.337442344257,-13.525024276508166,False,,False
XRPUSDT_15m_trend,crypto,15m,trend,0.17053072835660196,,,-0.3418393900847092,0.4430379746835443,1264.2230553995153,-24.815452528103084,False,-0.5667549210816226,False
XRPUSDT_15m_carry,crypto,15m,carry,-0.5289968740897533,,,-0.3831005036271311,0.4936708860759494,709.0137431244448,-11.618573913683324,False,-0.3569114793804387,False
XRPUSDT_15m_mean_reversion,crypto,15m,mean_reversion,-8.194618448467898,,,-0.9964594774850837,0.012658227848101266,8603.73478323306,-20.18803738999804,False,,False
XRPUSDT_15m_breakout,crypto,15m,breakout,-5.508711636117501,,,-0.9128116307938535,0.10126582278481013,3078.9350478646024,-9.432623983507067,False,,False
SOLUSDT_15m_trend,crypto,15m,trend,0.8356853955085021,0.14990887513855464,0.8473388825369281,-0.2774233214362146,0.6901408450704225,788.2608900810743,-22.996862213189498,True,0.739036509637947,True
SOLUSDT_15m_carry,crypto,15m,carry,-0.45898505384482474,,,-0.37347213317450456,0.39436619718309857,532.1493752894156,-11.845375750882647,False,,False
SOLUSDT_15m_mean_reversion,crypto,15m,mean_reversion,-7.117464426723747,,,-0.983596855775276,0.07042253521126761,5920.525663585777,-16.39802855816267,False,,False
SOLUSDT_15m_breakout,crypto,15m,breakout,-4.60435881287503,,,-0.8383546724447937,0.07042253521126761,2346.9874939346523,-9.268351421926264,False,,False
TRXUSDT_15m_trend,crypto,15m,trend,-0.535130833590159,,,-0.6628361067013929,0.46835443037974683,2004.0997398259647,-28.835372551824644,False,-2.507628912939025,False
TRXUSDT_15m_carry,crypto,15m,carry,-1.425073142372592,,,-0.6763290855689028,0.34177215189873417,1293.7645013633928,-13.820503879943617,False,,False
TRXUSDT_15m_mean_reversion,crypto,15m,mean_reversion,-14.540849791334594,,,-0.9999787510410008,0.012658227848101266,14272.962356265198,-24.379822407954475,False,,False
TRXUSDT_15m_breakout,crypto,15m,breakout,-7.862292840337899,,,-0.9855404466728355,0.10126582278481013,6267.095743239281,-16.193161108454365,False,,False
DOGEUSDT_15m_trend,crypto,15m,trend,0.3137307440302973,,,-0.4007394142791433,0.5753424657534246,1035.4566994314762,-21.702345040660887,False,-0.5699239778042836,False
DOGEUSDT_15m_carry,crypto,15m,carry,-0.24522692867905502,,,-0.3261709392869723,0.4794520547945205,600.584701087566,-11.272625021440534,False,,False
DOGEUSDT_15m_mean_reversion,crypto,15m,mean_reversion,-7.800854924227038,,,-0.9930964586290173,0.0273972602739726,6934.721649618519,-16.612818146633835,False,,False
DOGEUSDT_15m_breakout,crypto,15m,breakout,-5.310246904897871,,,-0.8901039715907334,0.0684931506849315,2465.1420184760595,-9.463101030699205,False,,False
ZECUSDT_15m_trend,crypto,15m,trend,0.29874324233144806,,,-0.3174644455894623,0.5256410256410257,835.3827259255739,-26.559782324463757,False,0.002421538369298923,False
ZECUSDT_15m_carry,crypto,15m,carry,-0.4969221945119519,,,-0.38104908938419324,0.4230769230769231,377.31071286471035,-10.794562148465959,False,-1.026809874209611,False
ZECUSDT_15m_mean_reversion,crypto,15m,mean_reversion,-8.156439052921993,,,-0.9955476488113656,0.0641025641025641,6133.806185490777,-19.757753291718107,False,,False
ZECUSDT_15m_breakout,crypto,15m,breakout,-5.744804643368191,,,-0.9171096747527152,0.08974358974358974,2347.9373944031945,-12.398815348341586,False,,False
ADAUSDT_15m_trend,crypto,15m,trend,0.28844146531450837,,,-0.23471680019828156,0.4810126582278481,999.1696148350028,-26.608111426449902,False,0.2202753162522133,False
ADAUSDT_15m_carry,crypto,15m,carry,0.08830294979136631,,,-0.26849982220980384,0.4810126582278481,564.2832152945601,-11.640773419254929,False,-0.2589305565905771,False
