asset_class,symbol,tf,entry,sharpe,pnl_share,risk_contrib,n_obs
equity,AMZN,1d,blend,0.46,0.0060725603272925345,0.0038209627499068343,5328
equity,NVDA,1d,blend,0.98,0.015495740380697901,0.0038120108967978584,5328
crypto,ENSUSDT,1h,ema,-0.21,-0.0013557934929339962,0.003802926328791543,1705
crypto,JASMYUSDT,1h,ema,0.42,0.0023253873741316514,0.0037971589063285722,1564
equity,IWM,1d,blend,0.16,0.00197213378798168,0.003795437781439197,5328
crypto,APTUSDT,4h,ema,-0.15,-0.0006750285697808351,0.0037139381506372114,1382
equity,META,1d,blend,0.48,0.00633797886132646,0.0036987668004000523,5192
crypto,SUIUSDT,1h,ema,0.24,0.00104479146205709,0.00369427158965295,1186
crypto,OPUSDT,4h,ema,0.23,0.001280140035122533,0.003672514860311431,1522
crypto,MKRUSDT,4h,ema,0.45,0.003489597283610405,0.003666013748318704,2179
crypto,1000SHIBUSDT,4h,ema,0.64,0.004741329095534989,0.003602849958132136,1909
crypto,XLMUSDT,1d,ema,0.19,0.001933196047011884,0.0035958530996763076,2984
crypto,1000LUNCUSDT,1h,ema,0.11,0.0006203049881340863,0.0035935491823354056,1422
crypto,MKRUSDT,1h,ema,0.59,0.004627234557729077,0.0035849212029811397,2179
crypto,DOTUSDT,1d,ema,0.36,0.002518418020806922,0.0035790562252202285,2170
crypto,IMXUSDT,4h,ema,0.17,0.0008657672205135497,0.0035625342666180844,1632
crypto,1000FLOKIUSDT,1d,ema,0.6,0.0026205568803903193,0.0035529655299908845,1183
crypto,RUNEUSDT,1d,ema,0.53,0.0039204789311251724,0.003462929304069103,2157
crypto,JASMYUSDT,4h,ema,0.8,0.00442901827807154,0.0034486495368458107,1564
crypto,AVAXUSDT,1d,ema,0.53,0.0038659028198430416,0.0034239202734399495,2138
equity,JPM,1d,blend,0.46,0.006303747580063335,0.0033532444398367,5328
crypto,SUIUSDT,4h,ema,0.76,0.0030577703411544276,0.0033527688624195333,1186
crypto,ICPUSDT,4h,ema,0.09,0.0005454945496056679,0.003338915814744995,1908
crypto,DASHUSDT,1d,ema,-0.22,-0.002014012329941343,0.0033246656118242767,2683
crypto,SUIUSDT,1d,ema,0.36,0.001434414330874952,0.0032274193083109116,1186
crypto,UNIUSDT,1d,ema,0.09,0.0006185384683616423,0.0032059848771109935,2143
crypto,ETHUSDT,4h,blend,1.0,0.007316159147556085,0.0031946714594670773,3271
crypto,HBARUSDT,4h,ema,0.14,0.001247767210695073,0.003188225447414517,2498
crypto,1000LUNCUSDT,4h,ema,0.14,0.0006552775010688182,0.0031742727470272566,1422
crypto,INJUSDT,1d,ema,1.19,0.005920253598761506,0.0031597734625790036,1445
equity,AAPL,1d,blend,0.58,0.008018300955795702,0.0031431045501403316,5328
crypto,BTCUSDT,4h,blend,1.22,0.01054506303329005,0.0031198525696270493,3271
crypto,ENSUSDT,4h,ema,0.15,0.0008370509843666177,0.0031045058181251584,1705
crypto,ETHUSDT,1h,blend,0.77,0.004327946316463435,0.003058473401911895,2404
crypto,COMPUSDT,1d,ema,0.14,0.0009095261044398488,0.00302907672589703,2223
crypto,ETHUSDT,1d,blend,0.66,0.0046500607108375175,0.003027852165158721,3271
crypto,IOTAUSDT,1d,ema,0.08,0.0006781036574907436,0.003016426044839798,2984
crypto,NEARUSDT,1d,ema,0.39,0.0028914083060563346,0.003009239470898759,2116
crypto,LDOUSDT,1d,ema,-0.22,-0.0009875582651678802,0.002961180214998107,1409
crypto,ALGOUSDT,1d,ema,0.21,0.0015883256306773363,0.0029065584147058153,2597
crypto,BTCUSDT,1d,blend,0.86,0.006530984009452472,0.0028984482546085617,3271
crypto,BTCUSDT,1h,blend,0.77,0.004636457621189833,0.002842144356230446,2404
crypto,CRVUSDT,1d,ema,-0.34,-0.0020555196630823217,0.0027842712866944937,2160
crypto,MKRUSDT,1d,ema,0.49,0.0035337625656424376,0.002601759215971803,2179
crypto,TRXUSDT,1d,blend,0.61,0.007164881088912317,0.002597754979003259,2973
crypto,HBARUSDT,1d,ema,0.27,0.002098477588663613,0.0025339387696917473,2498
