asset_class,symbol,tf,group,spec,entry,direction,exit,gate,sharpe,sortino,max_dd,months_in_profit,ann_turnover,total_return,n_obs
crypto,BTCUSDT,15m,entry,strength|ls,strength,ls,-,-,-4.387,-9.463,-0.9722,0.139,1095.4,-0.9697,2404
crypto,BTCUSDT,15m,direction,"ema|fast50,slow200|reversal|long_only",ema,long_only,reversal,-,0.232,0.378,-0.3344,0.456,148.0,0.156,2404
crypto,BTCUSDT,15m,direction,"ema|fast50,slow200|reversal|short_only",ema,short_only,reversal,-,-0.681,-1.045,-0.5244,0.38,141.8,-0.4487,2404
crypto,BTCUSDT,15m,direction,"ema|fast50,slow200|reversal|asym",ema,asym,reversal,-,0.041,0.067,-0.3713,0.481,190.5,-0.0251,2404
crypto,BTCUSDT,15m,exit,"ema|fast50,slow200|atr_trailing|ls",ema,ls,atr_trailing,-,-1.772,-2.877,-0.8985,0.329,797.6,-0.8925,2404
crypto,BTCUSDT,15m,exit,"ema|fast50,slow200|channel|ls",ema,ls,channel,-,-2.702,-4.375,-0.968,0.228,933.4,-0.9663,2404
crypto,BTCUSDT,15m,gate,"ema|fast50,slow200|g:adx|reversal|ls",ema,ls,reversal,adx,-0.178,-0.284,-0.5379,0.481,256.9,-0.2733,2404
crypto,BTCUSDT,15m,gate,"ema|fast50,slow200|g:ltf|reversal|ls",ema,ls,reversal,ltf,-0.289,-0.464,-0.5465,0.481,289.8,-0.3664,2404
crypto,BTCUSDT,15m,gate,"ema|fast50,slow200|g:vol|reversal|ls",ema,ls,reversal,vol,-0.209,-0.34,-0.482,0.494,286.0,-0.2998,2404
crypto,BTCUSDT,15m,headline,blend|long_only,blend,long_only,-,-,-0.207,-0.512,-0.2734,0.405,155.5,-0.0981,2404
crypto,BTCUSDT,15m,headline,blend|asym,blend,asym,-,-,-0.445,-1.153,-0.3349,0.418,197.6,-0.1924,2404
crypto,BTCUSDT,5m,entry,"ema|fast20,slow100|reversal|ls",ema,ls,reversal,-,-4.722,-7.538,-0.9974,0.089,1704.1,-0.9973,2404
crypto,BTCUSDT,5m,entry,"ema|fast50,slow200|reversal|ls",ema,ls,reversal,-,-2.3,-3.805,-0.948,0.241,962.8,-0.9396,2404
crypto,BTCUSDT,5m,entry,"ema|fast100,slow300|reversal|ls",ema,ls,reversal,-,-1.572,-2.622,-0.8809,0.367,701.8,-0.8523,2404
crypto,BTCUSDT,5m,entry,"sma|fast50,slow200|reversal|ls",sma,ls,reversal,-,-2.378,-3.825,-0.9484,0.228,984.6,-0.9441,2404
crypto,BTCUSDT,5m,entry,tsmom|lookback30|reversal|ls,tsmom,ls,reversal,-,-18.412,-20.882,-1.0,0.0,8590.3,-1.0,2404
crypto,BTCUSDT,5m,entry,tsmom|lookback90|reversal|ls,tsmom,ls,reversal,-,-13.114,-15.972,-1.0,0.013,5680.8,-1.0,2404
crypto,BTCUSDT,5m,entry,"macd|fast12,slow26|reversal|ls",macd,ls,reversal,-,-19.415,-22.174,-1.0,0.0,7494.9,-1.0,2404
crypto,BTCUSDT,5m,entry,donchian|lookback55|reversal|ls,donchian,ls,reversal,-,-4.076,-6.615,-0.9927,0.101,1218.3,-0.9925,2404
