asset_class,symbol,tf,entry,sharpe,pnl_share,risk_contrib,n_obs
crypto,SOLUSDT,1d,ema,0.89,0.012777845760993277,0.004898883974082758,2147
crypto,SUIUSDT,4h,ema,0.98,0.006946101223096475,0.004871603379807852,1186
crypto,MKRUSDT,4h,ema,0.38,0.0052066062301701545,0.004843848792183501,2179
crypto,SUIUSDT,1h,ema,0.44,0.003352368356786431,0.0048027749888497956,1186
crypto,MKRUSDT,1h,ema,0.63,0.00859875837011437,0.0046102293158410135,2179
crypto,ICPUSDT,4h,ema,0.27,0.003011566853196688,0.004607010505431237,1908
crypto,XLMUSDT,1d,ema,-0.01,-0.00026398659480564925,0.00455833689649593,2984
crypto,RUNEUSDT,1d,ema,0.48,0.006278843841699276,0.004546176913196692,2157
crypto,1000LUNCUSDT,1h,ema,0.29,0.002772695773601604,0.004494759001122777,1422
crypto,AVAXUSDT,1d,ema,0.41,0.005292127621420118,0.00444445938374504,2138
crypto,UNIUSDT,1d,ema,-0.06,-0.0007979445657682041,0.004220159329438133,2143
crypto,1000LUNCUSDT,4h,ema,0.26,0.0022332180918473244,0.004037753164094811,1422
crypto,ENSUSDT,4h,ema,0.28,0.0028871167222169515,0.0040324559120401,1705
crypto,COMPUSDT,1d,ema,0.05,0.0005417907917509641,0.004026268466549122,2223
crypto,DASHUSDT,1d,ema,-0.44,-0.007679410310157089,0.003958453675638021,2683
crypto,IOTAUSDT,1d,ema,0.03,0.00042839616764929494,0.003927664019218321,2984
crypto,INJUSDT,1d,ema,1.04,0.00912917627102392,0.003738930534313137,1445
crypto,ALGOUSDT,1d,ema,0.12,0.001587380542410067,0.00362561198518041,2597
crypto,SUIUSDT,1d,ema,0.28,0.0019760137331179465,0.003508956236579777,1186
crypto,NEARUSDT,1d,ema,0.26,0.00341183542543327,0.0033569940828546453,2116
crypto,HBARUSDT,1d,ema,0.21,0.0028977164633831815,0.003312852917599078,2498
crypto,LDOUSDT,1d,ema,-0.37,-0.002909799112634678,0.0030692227956008516,1409
crypto,APTUSDT,1d,ema,0.03,0.000206495973133775,0.0030105175630711512,1382
crypto,CRVUSDT,1d,ema,-0.53,-0.0058789854541694666,0.0029300092480176814,2160
crypto,GRTUSDT,1d,ema,-0.1,-0.0010307502113399997,0.0028577813038384646,2051
crypto,MKRUSDT,1d,ema,0.32,0.0040820950908054725,0.002850057261926338,2179
crypto,STXUSDT,4h,ema,-0.04,-0.0005793486922315511,0.002766182360631693,2472
crypto,FETUSDT,4h,ema,-0.17,-0.003277656166796204,0.0027481300014962143,2711
crypto,OPUSDT,1d,ema,0.19,0.0015475313491202178,0.002707008622823118,1522
crypto,1000SHIBUSDT,1d,ema,0.37,0.00413638384249779,0.0026087718281022493,1909
crypto,FILUSDT,1d,ema,0.13,0.0014263072255362038,0.002409225945816245,2115
crypto,ARBUSDT,1d,ema,-0.33,-0.0019067563038252895,0.002211682774069906,1227
crypto,1000LUNCUSDT,1d,ema,-0.64,-0.004605171279111079,0.0021651860670809228,1422
crypto,FETUSDT,1d,ema,-0.07,-0.0010977013034286238,0.0020342098106157416,2711
crypto,1000PEPEUSDT,1d,ema,-0.09,-0.0005614797866827239,0.002017543398795395,1184
crypto,ENSUSDT,1d,ema,-0.21,-0.0018906732725431548,0.0018683129817918362,1705
crypto,JASMYUSDT,1d,ema,0.71,0.006603579409710291,0.0017882221769644502,1564
crypto,CFXUSDT,1d,ema,-0.35,-0.001880754749278291,0.0017325541737363017,1258
crypto,STXUSDT,1d,ema,0.36,0.0035782129391992152,0.0017227002789612662,2472
crypto,IMXUSDT,1d,ema,-0.11,-0.0008495202954973504,0.0016269382064794588,1632
crypto,ICPUSDT,1d,ema,0.3,0.002641709955262182,0.0009219015562099827,1908
